,features,observed_count,expected_feature_count_theta_0,partial_derivative_theta_0,finite_difference_theta_0,expected_feature_count_theta_tanh,partial_derivative_theta_tanh,finite_difference_theta_tanh
"(' ', ' ')","('a', 'a')",99,1713.6923076923076,-1614.6923076923076,-1614.6923109772613,1750.347995112991,-1651.347995112991,-1651.347991719376
"(' ', '0')","('a', 'l')",6207,1713.6923076923076,4493.307692307692,4493.307690427173,1907.0188073911454,4299.981192608855,4299.981193616986
"(' ', '1')","('a', 'SPACE')",5670,1713.6923076923076,3956.3076923076924,3956.307690532412,1095.8995892887815,4574.1004107112185,4574.100409809034
"(' ', '2')","('a', 'z')",125,1713.6923076923076,-1588.6923076923076,-1588.6923109064808,2122.6831283757588,-1997.6831283757588,-1997.6831274107096
"(' ', '3')","('a', 'm')",2193,1713.6923076923076,479.3076923076924,479.3076892383396,1921.855117293683,271.14488270631705,271.14488621009514
"(' ', '4')","('a', 'n')",13044,1713.6923076923076,11330.307692307691,11330.307689786421,1936.7849452066841,11107.215054793316,11107.215052470565
"(' ', '5')","('a', 'e')",180,1713.6923076923076,-1533.6923076923076,-1533.692311204504,1805.8916413871186,-1625.8916413871186,-1625.8916395599952
"(' ', '6')","('a', 'r')",6645,1713.6923076923076,4931.307692307692,4931.307688821107,1997.410702261865,4647.589297738135,4647.589294472709
"(' ', '7')","('a', 'i')",2184,1713.6923076923076,470.3076923076924,470.30769055709237,1863.0843541620363,320.91564583796367,320.91564644360915
"(' ', '8')","('a', 'c')",2483,1713.6923076923076,769.3076923076924,769.3076884606852,1777.9097047555388,705.0902952444612,705.0902931950985
"(' ', '9')","('a', 'f')",740,1713.6923076923076,-973.6923076923076,-973.6923093441873,1820.0377932971426,-1080.0377932971426,-1080.0377960549667
"(' ', 'E')","('a', 'o')",60,1713.6923076923076,-1653.6923076923076,-1653.692311083432,1951.8068873530694,-1891.8068873530694,-1891.8068846687672
"(' ', 'U')","('a', 's')",5441,1713.6923076923076,3727.3076923076924,3727.3076901328745,2012.7861878537562,3428.213812146244,3428.2138120033774
"(' ', 'a')","('a', 'k')",991,1713.6923076923076,-722.6923076923076,-722.6923073176293,1892.2773747827512,-901.2773747827512,-901.2773778522386
"(' ', 'b')","('a', 'd')",2348,1713.6923076923076,634.3076923076924,634.307689324487,1791.8486135261755,556.1513864738245,556.1513899010606
"(' ', 'c')","('a', 'h')",221,1713.6923076923076,-1492.6923076923076,-1492.6923118764532,1848.635259474135,-1627.635259474135,-1627.6352616841903
"(' ', 'd')","('a', 'b')",1545,1713.6923076923076,-168.69230769230762,-168.6923103989102,1764.0758641982895,-219.07586419828954,-219.0758648794144
"(' ', 'e')","('a', 'u')",796,1713.6923076923076,-917.6923076923076,-917.6923078484832,2043.788825947374,-1247.788825947374,-1247.7888260036707
"(' ', 'f')","('a', 't')",8495,1713.6923076923076,6781.307692307692,6781.3076893799,2028.2461161661658,6466.753883833834,6466.753884160425
"(' ', 'g')","('a', 'p')",1099,1713.6923076923076,-614.6923076923076,-614.6923100459389,1966.9194958399457,-867.9194958399457,-867.9194972501135
"(' ', 'h')","('a', 'q')",201,1713.6923076923076,-1512.6923076923076,-1512.6923070056362,1982.121279080742,-1781.121279080742,-1781.1212790547868
"(' ', 'i')","('a', 'w')",411,1713.6923076923076,-1302.6923076923076,-1302.6923086727038,2075.1157410020683,-1664.1157410020683,-1664.1157402773385
"(' ', 'j')","('a', 'y')",2135,1713.6923076923076,421.3076923076924,421.3076899759471,2106.7528372771876,28.24716272281239,28.24716211762279
"(' ', 'k')","('a', 'g')",1254,1713.6923076923076,-459.6923076923076,-459.69230995979154,1834.2860282841698,-580.2860282841698,-580.2860338008031
"(' ', 'l')","('a', '3')",0,1713.6923076923076,-1713.6923076923076,-1713.6923095677046,1240.0494082155044,-1240.0494082155044,-1240.0494117173366
"(' ', 'm')","('a', '2')",0,1713.6923076923076,-1713.6923076923076,-1713.6923095677046,1231.5646331561748,-1231.5646331561748,-1231.5646337810904
"(' ', 'n')","('a', 'v')",2018,1713.6923076923076,304.3076923076924,304.30769111262634,2059.4126150270145,-41.41261502701445,-41.412614518776536
"(' ', 'o')","('a', 'j')",60,1713.6923076923076,-1653.6923076923076,-1653.6923096282405,1877.6321339257024,-1817.6321339257024,-1817.6321318605912
"(' ', 'p')","('a', '1')",3,1713.6923076923076,-1710.6923076923076,-1710.6923100072888,1223.1839132317104,-1220.1839132317104,-1220.183915575035
"(' ', 'q')","('a', '9')",0,1713.6923076923076,-1713.6923076923076,-1713.6923095677046,1293.1807654943111,-1293.1807654943111,-1293.1807665154338
"(' ', 'r')","('a', '6')",0,1713.6923076923076,-1713.6923076923076,-1713.6923095677046,1266.1348958082988,-1266.1348958082988,-1266.1348941037431
"(' ', 's')","('a', '0')",1,1713.6923076923076,-1712.6923076923076,-1712.6923106843603,1214.906542027644,-1213.906542027644,-1213.9065394876525
"(' ', 't')","('a', '8')",0,1713.6923076923076,-1713.6923076923076,-1713.6923095677046,1284.0577288652798,-1284.0577288652798,-1284.0577284805477
"(' ', 'u')","('a', '4')",0,1713.6923076923076,-1713.6923076923076,-1713.6923095677046,1248.6389296190846,-1248.6389296190846,-1248.638929973822
"(' ', 'v')","('a', '5')",1,1713.6923076923076,-1712.6923076923076,-1712.6923106843603,1257.333872628948,-1256.333872628948,-1256.3338706968352
"(' ', 'w')","('a', 'x')",184,1713.6923076923076,-1529.6923076923076,-1529.6923083951694,2090.8964219655354,-1906.8964219655354,-1906.8964218604376
"(' ', 'x')","('a', '7')",0,1713.6923076923076,-1713.6923076923076,-1713.6923095677046,1275.0426402613791,-1275.0426402613791,-1275.0426394632086
"(' ', 'y')","('a', 'U')",0,1713.6923076923076,-1713.6923076923076,-1713.6923095677046,1594.1462373658696,-1594.1462373658696,-1594.1462377668356
"(' ', 'z')","('a', 'E')",0,1713.6923076923076,-1713.6923076923076,-1713.6923095677046,1411.2675650479562,-1411.2675650479562,-1411.2675649812443
"('0', ' ')","('l', 'a')",2838,853.8717948717948,1984.128205128205,1984.1282031848093,869.4890438912294,1968.5109561087706,1968.5109560668932
"('0', '0')","('l', 'l')",4672,853.8717948717948,3818.128205128205,3818.128202692605,947.3155990412532,3724.6844009587467,3724.684404005529
"('0', '1')","('l', 'SPACE')",6109,853.8717948717948,5255.128205128205,5255.128203134518,556.1538771464361,5552.846122853563,5552.846122009214
"('0', '2')","('l', 'z')",0,853.8717948717948,-853.8717948717948,-853.8717971532604,1056.3482895219126,-1056.3482895219126,-1056.3482894212939
"('0', '3')","('l', 'm')",110,853.8717948717948,-743.8717948717948,-743.8717977493069,954.7453356207269,-844.7453356207269,-844.7453335975296
"('0', '4')","('l', 'n')",22,853.8717948717948,-831.8717948717948,-831.8717969814314,962.2324256114724,-940.2324256114724,-940.2324249094817
"('0', '5')","('l', 'e')",5205,853.8717948717948,4351.128205128205,4351.128202688415,896.949222959641,4308.050777040359,4308.050774852745
"('0', '6')","('l', 'r')",107,853.8717948717948,-746.8717948717948,-746.8717973097226,992.744170044225,-885.744170044225,-885.7441709551493
"('0', '7')","('l', 'i')",3848,853.8717948717948,2994.128205128205,2994.128202408319,925.3750272229108,2922.624972777089,2922.624970960896
"('0', '8')","('l', 'c')",89,853.8717948717948,-764.8717948717948,-764.8717975826002,883.0973488157886,-794.0973488157886,-794.0973511722403
"('0', '9')","('l', 'f')",249,853.8717948717948,-604.8717948717948,-604.8717972589657,903.9658668022303,-654.9658668022303,-654.9658646690659
"('0', 'E')","('l', 'o')",2366,853.8717948717948,1512.128205128205,1512.128203467,969.7763801558856,1396.2236198441144,1396.2236218503674
"('0', 'U')","('l', 's')",971,853.8717948717948,117.1282051282052,117.12820269167422,1000.5101974733168,-29.510197473316794,-29.510198510251936
"('0', 'a')","('l', 'k')",237,853.8717948717948,-616.8717948717948,-616.8717969558202,939.943679958845,-702.943679958845,-702.9436805169097
"('0', 'b')","('l', 'd')",1949,853.8717948717948,1095.128205128205,1095.1282034511678,889.9929602312083,1059.0070397687919,1059.0070400212426
"('0', 'c')","('l', 'h')",38,853.8717948717948,-815.8717948717948,-815.8717973856254,918.1790986348974,-880.1790986348974,-880.1790987490675
"('0', 'd')","('l', 'b')",47,853.8717948717948,-806.8717948717948,-806.8717972491867,876.262635498396,-829.262635498396,-829.2626342154107
"('0', 'e')","('l', 'u')",583,853.8717948717948,-270.8717948717948,-270.87179623777047,1016.2037575928504,-433.20375759285037,-433.2037562562618
"('0', 'f')","('l', 't')",553,853.8717948717948,-300.8717948717948,-300.87179693509825,1008.3302725830035,-455.33027258300353,-455.33027223427774
"('0', 'g')","('l', 'p')",282,853.8717948717948,-571.8717948717948,-571.8717977288179,977.376685573771,-695.376685573771,-695.3766860533505
"('0', 'h')","('l', 'q')",0,853.8717948717948,-853.8717948717948,-853.8717971532604,985.0328033333185,-985.0328033333185,-985.03280460136
"('0', 'i')","('l', 'w')",108,853.8717948717948,-745.8717948717948,-745.8717969711869,1032.108283010351,-924.108283010351,-924.1082821972667
"('0', 'j')","('l', 'y')",2750,853.8717948717948,1896.128205128205,1896.128203225089,1048.2181804448044,1701.7818195551956,1701.7818172462282
"('0', 'k')","('l', 'g')",28,853.8717948717948,-825.8717948717948,-825.8717978605999,911.0425979217069,-883.0425979217069,-883.0425962514709
"('0', 'l')","('l', '3')",1,853.8717948717948,-852.8717948717948,-852.8717968147247,623.6529426669974,-622.6529426669974,-622.6529432751704
"('0', 'm')","('l', '2')",3,853.8717948717948,-850.8717948717948,-850.8717961376532,619.6581351910505,-616.6581351910505,-616.6581362776924
"('0', 'n')","('l', 'v')",131,853.8717948717948,-722.8717948717948,-722.8717971884179,1024.129990064527,-893.129990064527,-893.1299897085408
"('0', 'o')","('l', 'j')",0,853.8717948717948,-853.8717948717948,-853.8717971532604,932.6300177595978,-932.6300177595978,-932.6300183602142
"('0', 'p')","('l', '1')",2,853.8717948717948,-851.8717948717948,-851.8717979313805,615.7150701227256,-613.7150701227256,-613.7150710856076
"('0', 'q')","('l', '9')",0,853.8717948717948,-853.8717948717948,-853.8717971532604,648.7328936863632,-648.7328936863632,-648.7328893854283
"('0', 'r')","('l', '6')",0,853.8717948717948,-853.8717948717948,-853.8717971532604,635.9522344618383,-635.9522344618383,-635.952234006254
"('0', 's')","('l', '0')",0,853.8717948717948,-853.8717948717948,-853.8717971532604,611.8232994586751,-611.8232994586751,-611.8232995504513
"('0', 't')","('l', '8')",1,853.8717948717948,-852.8717948717948,-852.8717968147247,644.4184829571712,-643.4184829571712,-643.4184804675169
"('0', 'u')","('l', '4')",1,853.8717948717948,-852.8717948717948,-852.8717968147247,627.6999363464098,-626.6999363464098,-626.6999349463731
"('0', 'v')","('l', '5')",0,853.8717948717948,-853.8717948717948,-853.8717971532604,631.7995554855431,-631.7995554855431,-631.799556867918
"('0', 'w')","('l', 'x')",1,853.8717948717948,-852.8717948717948,-852.8717968147247,1040.1379250256102,-1039.1379250256102,-1039.137923362432
"('0', 'x')","('l', '7')",0,853.8717948717948,-853.8717948717948,-853.8717971532604,640.1584024276661,-640.1584024276661,-640.1583996193949
"('0', 'y')","('l', 'U')",0,853.8717948717948,-853.8717948717948,-853.8717971532604,793.0244377970679,-793.0244377970679,-793.0244370072613
"('0', 'z')","('l', 'E')",0,853.8717948717948,-853.8717948717948,-853.8717971532604,704.8858421592723,-704.8858421592723,-704.8858431517145
"('1', ' ')","('SPACE', 'a')",20519,4618.1025641025635,15900.897435897437,15900.897426763548,4783.471772847991,15735.528227152008,15735.52822228521
"('1', '0')","('SPACE', 'l')",4516,4618.1025641025635,-102.10256410256352,-102.1025760564953,5101.399059739599,-585.3990597395987,-585.3990674950182
"('1', '1')","('SPACE', 'SPACE')",0,4618.1025641025635,-4618.1025641025635,-4618.102574022487,2994.9500132973217,-2994.9500132973217,-2994.94998762384
"('1', '2')","('SPACE', 'z')",91,4618.1025641025635,-4527.1025641025635,-4527.102573774755,5491.904693676265,-5400.904693676265,-5400.904681300744
"('1', '3')","('SPACE', 'm')",7328,4618.1025641025635,2709.8974358974365,2709.8974271211773,5129.909488801811,2198.0905111981892,2198.0905265081674
"('1', '4')","('SPACE', 'n')",5073,4618.1025641025635,454.8974358974365,454.89742769859726,5158.33852856557,-85.33852856557041,-85.33854270353913
"('1', '5')","('SPACE', 'e')",4163,4618.1025641025635,-455.1025641025635,-455.1025747787207,4899.854581536023,-736.854581536023,-736.8545862846075
"('1', '6')","('SPACE', 'r')",4636,4618.1025641025635,17.89743589743648,17.897429643198848,5271.1707905988105,-635.1707905988105,-635.1707968860865
"('1', '7')","('SPACE', 'i')",14488,4618.1025641025635,9869.897435897437,9869.897429598495,5015.415572717833,9472.584427282167,9472.584427567199
"('1', '8')","('SPACE', 'c')",8267,4618.1025641025635,3648.8974358974365,3648.897429229691,4841.750192844402,3425.2498071555983,3425.249806605279
"('1', '9')","('SPACE', 'f')",6955,4618.1025641025635,2336.8974358974365,2336.897427449003,4928.83162766095,2026.1683723390497,2026.1683734133837
"('1', 'E')","('SPACE', 'o')",9791,4618.1025641025635,5172.8974358974365,5172.897427110001,5186.682639678896,4604.317360321104,4604.317364282906
"('1', 'U')","('SPACE', 's')",11757,4618.1025641025635,7138.8974358974365,7138.897426193579,5299.140847395028,6457.859152604972,6457.859167130663
"('1', 'a')","('SPACE', 'k')",1286,4618.1025641025635,-3332.1025641025635,-3332.102572312578,5072.8108308558085,-3786.8108308558085,-3786.810836754739
"('1', 'b')","('SPACE', 'd')",5672,4618.1025641025635,1053.8974358974365,1053.8974252995104,4870.826126804557,801.1738731954429,801.1738769710063
"('1', 'c')","('SPACE', 'h')",7748,4618.1025641025635,3129.8974358974365,3129.897429607808,4986.615958678977,2761.384041321023,2761.3840182311833
"('1', 'd')","('SPACE', 'b')",7843,4618.1025641025635,3224.8974358974365,3224.897425388917,4812.630743062668,3030.3692569373316,3030.3692677989598
"('1', 'e')","('SPACE', 'u')",2148,4618.1025641025635,-2470.1025641025635,-2470.1025744434446,5354.772282485818,-3206.7722824858183,-3206.7722815554584
"('1', 'f')","('SPACE', 't')",26361,4618.1025641025635,21742.897435897437,21742.897428339347,5327.009081094231,21033.99091890577,21033.990901196375
"('1', 'g')","('SPACE', 'p')",6800,4618.1025641025635,2181.8974358974365,2181.897428818047,5214.938334417461,1585.0616655825388,1585.0616444367913
"('1', 'h')","('SPACE', 'q')",474,4618.1025641025635,-4144.1025641025635,-4144.102573627606,5243.102178126175,-4769.102178126175,-4769.102169666439
"('1', 'i')","('SPACE', 'w')",10861,4618.1025641025635,6242.8974358974365,6242.897425545379,5409.971049247305,5451.028950752695,5451.028939569369
"('1', 'j')","('SPACE', 'y')",3587,4618.1025641025635,-1031.1025641025635,-1031.102577690035,5464.712679388326,-1877.7126793883263,-1877.7126912027595
"('1', 'k')","('SPACE', 'g')",3737,4618.1025641025635,-881.1025641025635,-881.1025705654173,4957.753371831108,-1220.7533718311079,-1220.7533873151988
"('1', 'l')","('SPACE', '3')",312,4618.1025641025635,-4306.1025641025635,-4306.102573173121,3470.4503044778644,-3158.4503044778644,-3158.4503012709315
"('1', 'm')","('SPACE', '2')",799,4618.1025641025635,-3819.1025641025635,-3819.102572742849,3443.9974433130546,-2644.9974433130546,-2644.9974509887397
"('1', 'n')","('SPACE', 'v')",1319,4618.1025641025635,-3299.1025641025635,-3299.102577148005,5382.4273016954785,-4063.4273016954785,-4063.42729111202
"('1', 'o')","('SPACE', 'j')",1261,4618.1025641025635,-3357.1025641025635,-3357.1025705896313,5044.148440189153,-3783.148440189153,-3783.14844565466
"('1', 'p')","('SPACE', '1')",988,4618.1025641025635,-3630.1025641025635,-3630.1025713328268,3417.689068689004,-2429.689068689004,-2429.6890769619495
"('1', 'q')","('SPACE', '9')",81,4618.1025641025635,-4537.1025641025635,-4537.1025742497295,3632.0376755392526,-3551.0376755392526,-3551.0376619640733
"('1', 'r')","('SPACE', '6')",170,4618.1025641025635,-4448.1025641025635,-4448.102571768686,3550.647033309759,-3380.647033309759,-3380.6470280978824
"('1', 's')","('SPACE', '0')",267,4618.1025641025635,-4351.1025641025635,-4351.102566579357,3391.527951992518,-3124.527951992518,-3124.5279533322896
"('1', 't')","('SPACE', '8')",110,4618.1025641025635,-4508.1025641025635,-4508.102568797767,3604.779995540359,-3494.779995540359,-3494.7799693327393
"('1', 'u')","('SPACE', '4')",222,4618.1025641025635,-4396.1025641025635,-4396.102571627125,3497.0448096824716,-3275.0448096824716,-3275.044786278158
"('1', 'v')","('SPACE', '5')",229,4618.1025641025635,-4389.1025641025635,-4389.1025765333325,3523.7780464116645,-3294.7780464116645,-3294.778056442737
"('1', 'w')","('SPACE', 'x')",53,4618.1025641025635,-4565.1025641025635,-4565.1025720871985,5437.400497061601,-5384.400497061601,-5384.400498587638
"('1', 'x')","('SPACE', '7')",194,4618.1025641025635,-4424.1025641025635,-4424.10257528536,3577.648721427398,-3383.648721427398,-3383.648727321997
"('1', 'y')","('SPACE', 'U')",0,4618.1025641025635,-4618.1025641025635,-4618.102574022487,4431.970048641115,-4431.970048641115,-4431.970044970512
"('1', 'z')","('SPACE', 'E')",0,4618.1025641025635,-4618.1025641025635,-4618.102574022487,3967.750268423929,-3967.750268423929,-3967.750276206061
"('2', ' ')","('z', 'a')",178,18.05128205128205,159.94871794871796,159.9487179191783,18.315743450080767,159.68425654991924,159.68425655046303
"('2', '0')","('z', 'l')",2,18.05128205128205,-16.05128205128205,-16.051282068474393,19.919245011923344,-17.919245011923344,-17.91924501048925
"('2', '1')","('z', 'SPACE')",84,18.05128205128205,65.94871794871796,65.94871792913182,12.11300522800479,71.8869947719952,71.88699476046168
"('2', '2')","('z', 'z')",41,18.05128205128205,22.94871794871795,22.94871792400954,22.211879988262286,18.788120011737714,18.7881199963158
"('2', '3')","('z', 'm')",1,18.05128205128205,-17.05128205128205,-17.051282088687003,20.07374112513887,-19.07374112513887,-19.0737411230657
"('2', '4')","('z', 'n')",3,18.05128205128205,-15.051282051282051,-15.051282093736516,20.22968290132775,-17.22968290132775,-17.229682907782262
"('2', '5')","('z', 'e')",222,18.05128205128205,203.94871794871796,203.9487179217758,18.87845073952568,203.12154926047432,203.12154922521583
"('2', '6')","('z', 'r')",0,18.05128205128205,-18.05128205128205,-18.051282086162246,20.867825720447176,-20.867825720447176,-20.867825696768705
"('2', '7')","('z', 'i')",102,18.05128205128205,83.94871794871796,83.94871792916092,19.46445944297749,82.53554055702251,82.53554053681
"('2', '8')","('z', 'c')",3,18.05128205128205,-15.051282051282051,-15.051282070999148,18.594187257060646,-15.594187257060646,-15.594187289025284
"('2', '9')","('z', 'f')",1,18.05128205128205,-17.05128205128205,-17.051282088687003,19.022767475560286,-18.022767475560286,-18.022767449110688
"('2', 'E')","('z', 'o')",25,18.05128205128205,6.948717948717949,6.948717918930924,20.387066689883437,4.6129333101165635,4.612933275893738
"('2', 'U')","('z', 's')",2,18.05128205128205,-16.05128205128205,-16.05128209121176,21.03093046932616,-19.03093046932616,-19.03093057080696
"('2', 'a')","('z', 'k')",0,18.05128205128205,-18.05128205128205,-18.051282086162246,19.76619769511346,-19.76619769511346,-19.766197669923713
"('2', 'b')","('z', 'd')",1,18.05128205128205,-17.05128205128205,-17.051282088687003,18.735590905580484,-17.735590905580484,-17.735590881784447
"('2', 'c')","('z', 'h')",2,18.05128205128205,-16.05128205128205,-16.05128209121176,19.31577225626812,-17.31577225626812,-17.315772197434853
"('2', 'd')","('z', 'b')",6,18.05128205128205,-12.051282051282051,-12.051282101310788,18.454238635507274,-12.454238635507274,-12.454238685677408
"('2', 'e')","('z', 'u')",18,18.05128205128205,-0.0512820512820511,-0.051282086133141995,21.361380378103984,-3.361380378103984,-3.361380368005484
"('2', 'f')","('z', 't')",1,18.05128205128205,-17.05128205128205,-17.051282088687003,21.19545098509694,-20.19545098509694,-20.195451043036883
"('2', 'g')","('z', 'p')",0,18.05128205128205,-18.05128205128205,-18.051282086162246,20.545888315981596,-20.545888315981596,-20.545888378364907
"('2', 'h')","('z', 'q')",0,18.05128205128205,-18.05128205128205,-18.051282086162246,20.706143073861384,-20.706143073861384,-20.70614307285723
"('2', 'i')","('z', 'w')",0,18.05128205128205,-18.05128205128205,-18.051282086162246,21.697435437157992,-21.697435437157992,-21.697435499845596
"('2', 'j')","('z', 'y')",11,18.05128205128205,-7.051282051282051,-7.05128206845984,22.03902926976113,-11.03902926976113,-11.039029277526422
"('2', 'k')","('z', 'g')",0,18.05128205128205,-18.05128205128205,-18.051282086162246,19.16854137930473,-19.16854137930473,-19.168541371072934
"('2', 'l')","('z', '3')",0,18.05128205128205,-18.05128205128205,-18.051282086162246,13.418067676415037,-13.418067676415037,-13.418067692327893
"('2', 'm')","('z', '2')",0,18.05128205128205,-18.05128205128205,-18.051282086162246,13.340403756263518,-13.340403756263518,-13.340403756956219
"('2', 'n')","('z', 'v')",0,18.05128205128205,-18.05128205128205,-18.051282086162246,21.528711199572523,-21.528711199572523,-21.528711181417748
"('2', 'o')","('z', 'j')",0,18.05128205128205,-18.05128205128205,-18.051282086162246,19.6146017983199,-19.6146017983199,-19.614601842476986
"('2', 'p')","('z', '1')",1,18.05128205128205,-17.05128205128205,-17.051282088687003,13.263800237824729,-12.263800237824729,-12.263800249456834
"('2', 'q')","('z', '9')",0,18.05128205128205,-18.05128205128205,-18.051282086162246,13.906943204683698,-13.906943204683698,-13.906943195252095
"('2', 'r')","('z', '6')",0,18.05128205128205,-18.05128205128205,-18.051282086162246,13.657533349449801,-13.657533349449801,-13.657533372679607
"('2', 's')","('z', '0')",0,18.05128205128205,-18.05128205128205,-18.051282086162246,13.18824595568604,-13.18824595568604,-13.188245975470634
"('2', 't')","('z', '8')",0,18.05128205128205,-18.05128205128205,-18.051282086162246,13.822683230392688,-13.822683230392688,-13.822683149555813
"('2', 'u')","('z', '4')",0,18.05128205128205,-18.05128205128205,-18.051282086162246,13.496803155715494,-13.496803155715494,-13.496803126145094
"('2', 'v')","('z', '5')",0,18.05128205128205,-18.05128205128205,-18.051282086162246,13.576621338290948,-13.576621338290948,-13.576621313404756
"('2', 'w')","('z', 'x')",0,18.05128205128205,-18.05128205128205,-18.051282086162246,21.867544510923867,-21.867544510923867,-21.867544501219523
"('2', 'x')","('z', '7')",0,18.05128205128205,-18.05128205128205,-18.051282086162246,13.73955029000037,-13.73955029000037,-13.73955030885554
"('2', 'y')","('z', 'U')",0,18.05128205128205,-18.05128205128205,-18.051282086162246,16.766042660398863,-16.766042660398863,-16.766042699600803
"('2', 'z')","('z', 'E')",0,18.05128205128205,-18.05128205128205,-18.051282086162246,15.009909709701533,-15.009909709701533,-15.009909725449686
"('3', ' ')","('m', 'a')",3176,522.6153846153846,2653.3846153846152,2653.384614677634,532.0311027423444,2643.9688972576555,2643.9688976097386
"('3', '0')","('m', 'l')",54,522.6153846153846,-468.61538461538464,-468.6153843067586,579.6160574020779,-525.6160574020779,-525.6160577118862
"('3', '1')","('m', 'SPACE')",3410,522.6153846153846,2887.3846153846152,2887.3846145870625,341.04614177813227,3068.953858221868,3068.953858746681
"('3', '2')","('m', 'z')",2,522.6153846153846,-520.6153846153846,-520.6153844483197,646.383503608641,-644.383503608641,-644.3835038226098
"('3', '3')","('m', 'm')",638,522.6153846153846,115.38461538461536,115.38461549207567,584.1619496349186,53.83805036508136,53.83805255405604
"('3', '4')","('m', 'n')",38,522.6153846153846,-484.61538461538464,-484.6153853577561,588.7434950142323,-550.7434950142323,-550.7434936589561
"('3', '5')","('m', 'e')",5454,522.6153846153846,4931.384615384615,4931.384614610579,548.8139573930682,4905.186042606932,4905.186041287379
"('3', '6')","('m', 'r')",57,522.6153846153846,-465.61538461538464,-465.61538474634284,607.4202551207886,-550.4202551207886,-550.4202556039672
"('3', '7')","('m', 'i')",1846,522.6153846153846,1323.3846153846152,1323.384614806855,566.1949332571231,1279.805066742877,1279.805066587869
"('3', '8')","('m', 'c')",57,522.6153846153846,-465.61538461538464,-465.61538474634284,540.3471557557282,-483.3471557557282,-483.3471546589862
"('3', '9')","('m', 'f')",46,522.6153846153846,-476.61538461538464,-476.6153841046616,553.1035352293528,-507.1035352293528,-507.103534619091
"('3', 'E')","('m', 'o')",1855,522.6153846153846,1332.3846153846152,1332.3846156708896,593.3604073616194,1261.6395926383807,1261.6395943041425
"('3', 'U')","('m', 's')",406,522.6153846153846,-116.61538461538464,-116.61538446787743,612.1754676568769,-206.1754676568769,-206.17546688299623
"('3', 'a')","('m', 'k')",4,522.6153846153846,-518.6153846153846,-518.6153852264397,575.1060892630467,-571.1060892630467,-571.1060897738207
"('3', 'b')","('m', 'd')",12,522.6153846153846,-510.61538461538464,-510.6153854285366,544.561780175219,-532.561780175219,-532.5617799826432
"('3', 'c')","('m', 'h')",9,522.6153846153846,-513.6153846153846,-513.6153849889524,561.7942117083516,-552.7942117083516,-552.7942106709816
"('3', 'd')","('m', 'b')",632,522.6153846153846,109.38461538461536,109.38461491605266,536.1702220250077,95.82977797499234,95.82977654645218
"('3', 'e')","('m', 'u')",609,522.6153846153846,86.38461538461536,86.38461513328366,621.7866342580363,-12.786634258036315,-12.786634761141611
"('3', 'f')","('m', 't')",21,522.6153846153846,-501.61538461538464,-501.6153845645021,616.9643867124566,-595.9643867124566,-595.9643873211462
"('3', 'g')","('m', 'p')",989,522.6153846153846,466.38461538461536,466.3846157200168,598.0123852231491,390.98761477685093,390.98761626519257
"('3', 'h')","('m', 'q')",0,522.6153846153846,-522.6153846153846,-522.6153843977954,602.699111838045,-602.699111838045,-602.6991111866664
"('3', 'i')","('m', 'w')",8,522.6153846153846,-514.6153846153846,-514.6153838722967,631.5295264652675,-623.5295264652675,-623.5295259102713
"('3', 'j')","('m', 'y')",1027,522.6153846153846,504.38461538461536,504.38461548765184,641.4008159341198,385.5991840658802,385.5991824821103
"('3', 'k')","('m', 'g')",8,522.6153846153846,-514.6153846153846,-514.6153838722967,557.430347066009,-549.430347066009,-549.4303499290254
"('3', 'l')","('m', '3')",3,522.6153846153846,-519.6153846153846,-519.6153833821882,382.11204874773597,-379.11204874773597,-379.11204781266855
"('3', 'm')","('m', '2')",8,522.6153846153846,-514.6153846153846,-514.6153838722967,379.6805585662366,-371.6805585662366,-371.6805600561201
"('3', 'n')","('m', 'v')",3,522.6153846153846,-519.6153846153846,-519.6153833821882,626.6418170064555,-623.6418170064555,-623.6418172193225
"('3', 'o')","('m', 'j')",1,522.6153846153846,-521.6153846153846,-521.6153840592597,570.6323009914471,-569.6323009914471,-569.6323009033222
"('3', 'p')","('m', '1')",6,522.6153846153846,-516.6153846153846,-516.6153852769639,377.28069906751773,-371.28069906751773,-371.28069889149623
"('3', 'q')","('m', '9')",0,522.6153846153846,-522.6153846153846,-522.6153843977954,397.38051159088377,-397.38051159088377,-397.38051200401964
"('3', 'r')","('m', '6')",0,522.6153846153846,-522.6153846153846,-522.6153843977954,389.5990528229839,-389.5990528229839,-389.5990521414205
"('3', 's')","('m', '0')",0,522.6153846153846,-522.6153846153846,-522.6153843977954,374.91219159617236,-374.91219159617236,-374.9121897271834
"('3', 't')","('m', '8')",0,522.6153846153846,-522.6153846153846,-522.6153843977954,394.7535338970339,-394.7535338970339,-394.7535355109721
"('3', 'u')","('m', '4')",0,522.6153846153846,-522.6153846153846,-522.6153843977954,384.5754458731787,-384.5754458731787,-384.575445059454
"('3', 'v')","('m', '5')",1,522.6153846153846,-521.6153846153846,-521.6153840592597,387.07102360917116,-386.07102360917116,-386.0710239678155
"('3', 'w')","('m', 'x')",2,522.6153846153846,-520.6153846153846,-520.6153851759154,636.4493390036739,-634.4493390036739,-634.4493398501072
"('3', 'x')","('m', '7')",0,522.6153846153846,-522.6153846153846,-522.6153843977954,392.1598013733673,-392.1598013733673,-392.15979923028493
