,primary,secondary,pw_angle,quintile
0,cube/cube_1,corn/corn_2,89.42703265514284,5
1,cube/cube_1,cylinder/cylinder_3,89.42703265514284,5
2,cube/cube_1,corn/corn_4,89.36973371455022,5
3,cube/cube_1,corn/corn_3,89.36973371455022,5
4,cube/cube_1,tomato/tomato_3,89.36973371455022,5
5,cube/cube_1,carrot/carrot_2,89.31243414358914,5
6,cube/cube_1,tomato/tomato_1,89.31243414358914,5
7,cube/cube_1,plum/plum_3,89.31243414358914,5
8,cube/cube_1,cabbage/cabbage_2,89.31243414358914,5
9,cube/cube_1,semicylinder/semicylinder_2,89.31243414358914,5
10,cube/cube_1,carrot/carrot_4,89.25513388492966,4
11,cube/cube_1,carrot/carrot_1,89.25513388492966,4
12,cube/cube_1,arch/arch_2,89.25513388492966,4
13,cube/cube_1,plum/plum_4,89.25513388492966,4
14,cube/cube_1,plum/plum_2,89.25513388492966,4
15,cube/cube_1,cabbage/cabbage_4,89.25513388492966,4
16,cube/cube_1,cabbage/cabbage_3,89.25513388492966,4
17,cube/cube_1,cabbage/cabbage_1,89.25513388492966,4
18,cube/cube_1,tomato/tomato_2,89.19783288123561,4
19,cube/cube_1,banana/banana_3,89.19783288123561,4
20,cube/cube_1,orange/orange_4,89.19783288123561,4
21,cube/cube_1,potato/potato_4,89.14053107516418,4
22,cube/cube_1,lemon/lemon_1,89.14053107516418,4
23,cube/cube_1,orange/orange_3,89.14053107516418,4
24,cube/cube_1,potato/potato_3,89.08322840936526,4
25,cube/cube_1,eggplant/eggplant_4,89.02592482648105,4
26,cube/cube_1,orange/orange_1,89.02592482648105,4
27,cube/cube_1,semicylinder/semicylinder_3,88.96862026914545,4
28,cube/cube_1,carrot/carrot_3,88.85400800161142,3
29,cube/cube_1,cucumber/cucumber_3,88.79670017663486,3
30,cube/cube_1,eggplant/eggplant_3,88.79670017663486,3
31,cube/cube_1,lemon/lemon_2,88.79670017663486,3
32,cube/cube_1,plum/plum_1,88.73939114764967,3
33,cube/cube_1,semicylinder/semicylinder_1,88.68208085724069,3
34,cube/cube_1,triangle/triangle_4,88.62476924798143,3
35,cube/cube_1,banana/banana_2,88.62476924798143,3
36,cube/cube_1,lemon/lemon_3,88.56745626243348,3
37,cube/cube_1,arch/arch_4,88.45282593265543,3
38,cube/cube_1,lemon/lemon_4,88.45282593265543,3
39,cube/cube_1,potato/potato_2,88.39550847348441,3
40,cube/cube_1,cucumber/cucumber_1,88.33818940814187,3
41,cube/cube_1,potato/potato_1,88.22354622890474,3
42,cube/cube_1,cylinder/cylinder_2,87.93690614551267,2
43,cube/cube_1,orange/orange_2,87.93690614551267,2
44,cube/cube_1,corn/corn_1,87.87957215926926,2
45,cube/cube_1,arch/arch_1,87.70755722404411,2
46,cube/cube_1,triangle/triangle_1,87.36346376588871,2
47,cube/cube_1,tomato/tomato_4,86.50278630336938,2
48,cube/cube_1,cucumber/cucumber_2,86.38797384292799,2
49,cube/cube_1,cucumber/cucumber_4,86.15830488024936,2
50,cube/cube_1,eggplant/eggplant_1,85.35395192958347,2
51,cube/cube_1,semicylinder/semicylinder_4,83.85759260898023,2
52,cube/cube_1,eggplant/eggplant_2,81.83640580421304,2
53,cube/cube_1,banana/banana_4,78.63841823299634,2
54,cube/cube_1,arch/arch_3,74.21668677094138,2
55,cube/cube_1,cuboid/cuboid_4,49.533751475892835,2
56,cube/cube_1,cube/cube_3,48.010068833058064,1
57,cube/cube_1,cylinder/cylinder_4,45.412314663977874,1
58,cube/cube_1,cylinder/cylinder_1,45.33180727769758,1
59,cube/cube_1,banana/banana_1,37.62719062883372,1
60,cube/cube_1,cube/cube_4,35.01518515624863,1
61,cube/cube_1,triangle/triangle_2,34.51276275504378,1
62,cube/cube_1,cuboid/cuboid_3,33.48814550117153,1
63,cube/cube_1,triangle/triangle_3,30.34488991029107,1
64,cube/cube_1,lime/lime_4,12.838568140984059,1
65,cube/cube_1,lime/lime_3,7.252246865059431,1
66,cube/cube_1,lime/lime_2,5.126400081947714,1
67,cube/cube_1,cuboid/cuboid_2,2.5625587331231388,1
68,cube/cube_1,cuboid/cuboid_1,0.0,1
69,cube/cube_1,cube/cube_2,0.0,1
70,cube/cube_1,lime/lime_1,0.0,1
71,cuboid/cuboid_1,corn/corn_4,89.42703265514284,5
72,cuboid/cuboid_1,corn/corn_3,89.42703265514284,5
73,cuboid/cuboid_1,corn/corn_2,89.42703265514284,5
74,cuboid/cuboid_1,cylinder/cylinder_3,89.42703265514284,5
75,cuboid/cuboid_1,carrot/carrot_2,89.36973371455022,5
76,cuboid/cuboid_1,tomato/tomato_1,89.36973371455022,5
77,cuboid/cuboid_1,tomato/tomato_3,89.36973371455022,5
78,cuboid/cuboid_1,semicylinder/semicylinder_2,89.36973371455022,5
79,cuboid/cuboid_1,carrot/carrot_1,89.31243414358914,4
80,cuboid/cuboid_1,arch/arch_2,89.31243414358914,4
81,cuboid/cuboid_1,plum/plum_4,89.31243414358914,4
82,cuboid/cuboid_1,plum/plum_2,89.31243414358914,4
83,cuboid/cuboid_1,plum/plum_3,89.31243414358914,4
84,cuboid/cuboid_1,cabbage/cabbage_4,89.31243414358914,4
85,cuboid/cuboid_1,cabbage/cabbage_3,89.31243414358914,4
86,cuboid/cuboid_1,cabbage/cabbage_2,89.31243414358914,4
87,cuboid/cuboid_1,cabbage/cabbage_1,89.31243414358914,4
88,cuboid/cuboid_1,carrot/carrot_4,89.25513388492966,4
89,cuboid/cuboid_1,tomato/tomato_2,89.25513388492966,4
90,cuboid/cuboid_1,banana/banana_3,89.25513388492966,4
91,cuboid/cuboid_1,eggplant/eggplant_4,89.08322840936526,4
92,cuboid/cuboid_1,semicylinder/semicylinder_3,89.02592482648105,4
93,cuboid/cuboid_1,orange/orange_4,88.96862026914545,4
94,cuboid/cuboid_1,lemon/lemon_1,88.96862026914545,4
95,cuboid/cuboid_1,orange/orange_3,88.96862026914545,4
96,cuboid/cuboid_1,potato/potato_4,88.91131467998362,4
97,cuboid/cuboid_1,potato/potato_3,88.91131467998362,4
98,cuboid/cuboid_1,carrot/carrot_3,88.85400800161142,3
99,cuboid/cuboid_1,eggplant/eggplant_3,88.85400800161142,3
100,cuboid/cuboid_1,orange/orange_1,88.85400800161142,3
101,cuboid/cuboid_1,plum/plum_1,88.79670017663486,3
102,cuboid/cuboid_1,triangle/triangle_4,88.68208085724069,3
103,cuboid/cuboid_1,banana/banana_2,88.68208085724069,3
104,cuboid/cuboid_1,semicylinder/semicylinder_1,88.68208085724069,3
105,cuboid/cuboid_1,cucumber/cucumber_3,88.62476924798143,3
106,cuboid/cuboid_1,lemon/lemon_2,88.56745626243348,3
107,cuboid/cuboid_1,arch/arch_4,88.51014184314606,3
108,cuboid/cuboid_1,lemon/lemon_3,88.39550847348441,3
109,cuboid/cuboid_1,potato/potato_2,88.22354622890474,3
110,cuboid/cuboid_1,lemon/lemon_4,88.22354622890474,3
111,cuboid/cuboid_1,cucumber/cucumber_1,88.16622199995335,3
112,cuboid/cuboid_1,potato/potato_1,88.10889593471583,3
113,cuboid/cuboid_1,cylinder/cylinder_2,87.99423806509017,2
114,cuboid/cuboid_1,corn/corn_1,87.87957215926926,2
115,cuboid/cuboid_1,orange/orange_2,87.76489775620432,2
116,cuboid/cuboid_1,arch/arch_1,87.53552161259545,2
117,cuboid/cuboid_1,triangle/triangle_1,87.36346376588871,2
118,cuboid/cuboid_1,tomato/tomato_4,86.50278630336938,2
119,cuboid/cuboid_1,cucumber/cucumber_2,86.21572777206762,2
120,cuboid/cuboid_1,cucumber/cucumber_4,85.92857407983236,2
121,cuboid/cuboid_1,eggplant/eggplant_1,85.41143426421417,2
122,cuboid/cuboid_1,semicylinder/semicylinder_4,83.68468443064262,2
123,cuboid/cuboid_1,eggplant/eggplant_2,81.89428394133066,2
124,cuboid/cuboid_1,banana/banana_4,78.69685327512431,2
125,cuboid/cuboid_1,arch/arch_3,74.03798583715276,2
126,cuboid/cuboid_1,cuboid/cuboid_4,49.533751475892835,2
127,cuboid/cuboid_1,cube/cube_3,48.010068833058064,1
128,cuboid/cuboid_1,cylinder/cylinder_4,45.412314663977874,1
129,cuboid/cuboid_1,cylinder/cylinder_1,45.33180727769758,1
130,cuboid/cuboid_1,banana/banana_1,37.53324333064642,1
131,cuboid/cuboid_1,cube/cube_4,35.01518515624863,1
132,cuboid/cuboid_1,triangle/triangle_2,34.51276275504378,1
133,cuboid/cuboid_1,cuboid/cuboid_3,33.48814550117153,1
134,cuboid/cuboid_1,triangle/triangle_3,30.34488991029107,1
135,cuboid/cuboid_1,lime/lime_4,12.57811865578259,1
136,cuboid/cuboid_1,lime/lime_3,6.7832889062333575,1
137,cuboid/cuboid_1,lime/lime_2,4.439222274842884,1
138,cuboid/cuboid_1,cube/cube_1,0.0,1
139,cuboid/cuboid_1,cube/cube_2,0.0,1
140,cuboid/cuboid_1,cuboid/cuboid_2,0.0,1
141,cuboid/cuboid_1,lime/lime_1,0.0,1
142,triangle/triangle_4,corn/corn_4,89.25513388492966,5
143,triangle/triangle_4,corn/corn_3,89.25513388492966,5
144,triangle/triangle_4,corn/corn_2,89.25513388492966,5
145,triangle/triangle_4,corn/corn_1,89.25513388492966,5
146,triangle/triangle_4,banana/banana_2,89.14053107516418,5
147,triangle/triangle_4,lemon/lemon_4,89.08322840936526,5
148,triangle/triangle_4,cucumber/cucumber_1,89.02592482648105,5
149,triangle/triangle_4,cucumber/cucumber_3,89.02592482648105,5
150,triangle/triangle_4,banana/banana_3,89.02592482648105,5
151,triangle/triangle_4,lemon/lemon_2,89.02592482648105,5
152,triangle/triangle_4,cucumber/cucumber_2,88.96862026914545,5
153,triangle/triangle_4,banana/banana_4,88.96862026914545,5
154,triangle/triangle_4,potato/potato_4,88.91131467998362,4
155,triangle/triangle_4,lemon/lemon_1,88.91131467998362,4
156,triangle/triangle_4,orange/orange_3,88.91131467998362,4
157,triangle/triangle_4,potato/potato_3,88.85400800161142,4
158,triangle/triangle_4,eggplant/eggplant_4,88.79670017663486,4
159,triangle/triangle_4,cuboid/cuboid_1,88.68208085724069,4
160,triangle/triangle_4,cube/cube_1,88.62476924798143,4
161,triangle/triangle_4,cuboid/cuboid_2,88.62476924798143,4
162,triangle/triangle_4,eggplant/eggplant_1,88.62476924798143,4
