,primary,secondary,pw_angle,quintile
0,cube/cube_1,cylinder/cylinder_4,2.5625587331231388,1
1,cube/cube_1,arch/arch_2,9.24870479102892,1
2,cube/cube_1,cylinder/cylinder_3,10.263095898622561,1
3,cube/cube_1,semicylinder/semicylinder_1,10.887482877261034,1
4,cube/cube_1,cuboid/cuboid_1,12.838568140984059,1
5,cube/cube_1,arch/arch_3,14.760334581469492,1
6,cube/cube_1,semicylinder/semicylinder_4,17.636093620448385,1
7,cube/cube_1,banana/banana_4,27.7484787006534,1
8,cube/cube_1,arch/arch_4,38.371715147057,1
9,cube/cube_1,semicylinder/semicylinder_3,39.37594409504151,1
10,cube/cube_1,banana/banana_1,39.55622690470013,1
11,cube/cube_1,potato/potato_3,41.40962210927086,2
12,cube/cube_1,semicylinder/semicylinder_2,42.09793528822026,2
13,cube/cube_1,banana/banana_3,42.26858442957247,2
14,cube/cube_1,banana/banana_2,42.43867620663612,2
15,cube/cube_1,cylinder/cylinder_2,42.6082175297965,2
16,cube/cube_1,potato/potato_2,43.02970678490596,2
17,cube/cube_1,triangle/triangle_1,43.945519562308846,2
18,cube/cube_1,cucumber/cucumber_2,45.33180727769758,2
19,cube/cube_1,lime/lime_1,45.492710698341455,2
20,cube/cube_1,cucumber/cucumber_4,45.5729959991943,2
21,cube/cube_1,cube/cube_4,45.653171179827325,3
22,cube/cube_1,cucumber/cucumber_1,45.7332368484762,3
23,cube/cube_1,lime/lime_3,46.05241639428465,3
24,cube/cube_1,cucumber/cucumber_3,46.211364547601974,3
25,cube/cube_1,lime/lime_2,46.2906802504732,3
26,cube/cube_1,cube/cube_2,46.448997757906874,3
27,cube/cube_1,lime/lime_4,46.52800068854041,3
28,cube/cube_1,potato/potato_1,48.928524917238256,3
29,cube/cube_1,orange/orange_2,77.58447269509152,3
30,cube/cube_1,lemon/lemon_1,81.54688803559691,3
31,cube/cube_1,lemon/lemon_2,81.77851927865483,3
32,cube/cube_1,eggplant/eggplant_1,83.10789742065363,4
33,cube/cube_1,lemon/lemon_4,83.16560673606818,4
34,cube/cube_1,eggplant/eggplant_2,83.91521611301177,4
35,cube/cube_1,plum/plum_1,84.20324217937316,4
36,cube/cube_1,orange/orange_4,85.2964649079396,4
37,cube/cube_1,eggplant/eggplant_3,85.87113127876243,4
38,cube/cube_1,tomato/tomato_4,86.38797384292799,4
39,cube/cube_1,eggplant/eggplant_4,86.84714119595358,4
40,cube/cube_1,orange/orange_1,87.07664703615512,4
41,cube/cube_1,orange/orange_3,87.30610593943034,4
42,cube/cube_1,lemon/lemon_3,87.65021439453957,5
