,primary,secondary,pw_angle,quintile
0,cube/cube_1,arch/arch_2,34.61375727409208,1
1,cube/cube_1,semicylinder/semicylinder_1,34.71449452434902,1
2,cube/cube_1,semicylinder/semicylinder_3,34.91520624744419,1
3,cube/cube_1,cylinder/cylinder_3,38.18673914654745,1
4,cube/cube_1,arch/arch_4,40.535802111316556,1
5,cube/cube_1,semicylinder/semicylinder_2,42.18332996651738,1
6,cube/cube_1,cylinder/cylinder_1,43.02970678490596,1
7,cube/cube_1,cuboid/cuboid_4,48.85248078985792,1
8,cube/cube_1,cube/cube_4,49.609020379711474,1
9,cube/cube_1,triangle/triangle_4,50.43152093465902,2
10,cube/cube_1,cube/cube_2,52.554969986840874,2
11,cube/cube_1,banana/banana_1,54.40866471905028,2
12,cube/cube_1,lemon/lemon_4,54.47909191094748,2
13,cube/cube_1,lemon/lemon_1,54.83030707614427,2
14,cube/cube_1,lemon/lemon_2,54.90036780460649,2
15,cube/cube_1,banana/banana_4,56.013330743980404,2
16,cube/cube_1,orange/orange_2,62.35447705216353,2
17,cube/cube_1,cylinder/cylinder_2,71.94076950921645,3
18,cube/cube_1,cuboid/cuboid_1,72.96235270584728,3
19,cube/cube_1,triangle/triangle_2,73.26174323862362,3
20,cube/cube_1,cylinder/cylinder_4,73.32156464298518,3
21,cube/cube_1,arch/arch_1,77.58447269509152,3
22,cube/cube_1,plum/plum_1,84.03044464978494,3
23,cube/cube_1,orange/orange_4,84.66378141190653,3
24,cube/cube_1,tomato/tomato_4,85.52638510835146,3
25,cube/cube_1,corn/corn_1,85.92857407983236,3
26,cube/cube_1,potato/potato_4,86.38797384292799,4
27,cube/cube_1,corn/corn_4,86.96190021510563,4
28,cube/cube_1,cucumber/cucumber_4,87.01927512138445,4
29,cube/cube_1,corn/corn_3,87.59286920997052,4
30,cube/cube_1,eggplant/eggplant_3,87.93690614551267,4
31,cube/cube_1,lime/lime_2,88.0515679756234,4
32,cube/cube_1,lime/lime_3,88.62476924798143,4
33,cube/cube_1,cuboid/cuboid_2,88.73939114764967,4
34,cube/cube_1,plum/plum_4,88.79670017663486,5
35,cube/cube_1,eggplant/eggplant_2,89.02592482648105,5
36,cube/cube_1,triangle/triangle_1,89.08322840936526,5
37,cube/cube_1,lime/lime_4,89.14053107516418,5
38,cube/cube_1,plum/plum_2,89.19783288123561,5
39,cube/cube_1,orange/orange_1,89.25513388492966,5
40,cube/cube_1,orange/orange_3,89.36973371455022,5
41,cube/cube_1,cabbage/cabbage_1,89.42703265514284,5
42,cube/cube_1,semicylinder/semicylinder_4,89.4843310226913,5
