,instances_sorted,early_stop,type,pre_threshold,rec_threshold,f1_score,precision,recall,accuracy,mean_max_dissim_,mean_min_dissim_,median_max_dissim_,median_min_dissim_,std_dev_max_dissim_,std_dev_min_dissim_
0,False,False,object,25,25,72.42038690476191,81.57552083333333,68.56770833333334,81.578125,89.22567927957724,20.125673842829016,89.31243414358914,8.854126419717081,0.24218658733116374,19.21633367011265
1,False,False,object,25,50,72.80357142857143,79.73958333333333,70.75520833333333,82.25260416666666,89.22567927957724,20.125673842829016,89.31243414358914,8.854126419717081,0.24218658733116374,19.21633367011265
2,False,False,object,25,75,73.20907738095238,79.8828125,71.53645833333333,81.70572916666666,89.22567927957724,20.125673842829016,89.31243414358914,8.854126419717081,0.24218658733116374,19.21633367011265
3,False,False,object,25,90,73.51860119047619,81.34114583333333,70.91145833333333,83.37239583333333,89.22567927957724,20.125673842829016,89.31243414358914,8.854126419717081,0.24218658733116374,19.21633367011265
4,False,False,object,50,25,72.46205357142857,79.765625,70.49479166666667,81.80729166666669,89.22567927957724,20.125673842829016,89.31243414358914,8.854126419717081,0.24218658733116374,19.21633367011265
5,False,False,object,50,50,73.01488095238096,79.73958333333334,70.91145833333333,82.14322916666666,89.22567927957724,20.125673842829016,89.31243414358914,8.854126419717081,0.24218658733116374,19.21633367011265
6,False,False,object,50,75,73.4404761904762,79.6484375,72.16145833333333,81.58854166666666,89.22567927957724,20.125673842829016,89.31243414358914,8.854126419717081,0.24218658733116374,19.21633367011265
7,False,False,object,50,90,73.015625,79.83072916666666,71.5625,81.93749999999999,89.22567927957724,20.125673842829016,89.31243414358914,8.854126419717081,0.24218658733116374,19.21633367011265
8,False,False,object,75,25,73.12425595238093,81.38020833333333,70.20833333333333,81.67447916666667,89.22567927957724,20.125673842829016,89.31243414358914,8.854126419717081,0.24218658733116374,19.21633367011265
9,False,False,object,75,50,72.2998511904762,79.6875,70.390625,81.83072916666667,89.22567927957724,20.125673842829016,89.31243414358914,8.854126419717081,0.24218658733116374,19.21633367011265
10,False,False,object,75,75,73.55282738095238,80.36458333333333,71.58854166666667,83.0078125,89.22567927957724,20.125673842829016,89.31243414358914,8.854126419717081,0.24218658733116374,19.21633367011265
11,False,False,object,75,90,72.85119047619048,80.4296875,71.43229166666667,80.67708333333333,89.22567927957724,20.125673842829016,89.31243414358914,8.854126419717081,0.24218658733116374,19.21633367011265
12,False,False,object,90,25,72.39508928571429,79.75260416666666,70.52083333333331,81.73177083333331,89.22567927957724,20.125673842829016,89.31243414358914,8.854126419717081,0.24218658733116374,19.21633367011265
13,False,False,object,90,50,71.38616071428572,79.40104166666667,69.06249999999999,80.45833333333333,89.22567927957724,20.125673842829016,89.31243414358914,8.854126419717081,0.24218658733116374,19.21633367011265
14,False,False,object,90,75,73.23660714285715,80.390625,70.625,81.75,89.22567927957724,20.125673842829016,89.31243414358914,8.854126419717081,0.24218658733116374,19.21633367011265
15,False,False,object,90,90,73.04464285714286,80.76822916666666,70.859375,81.7109375,89.22567927957724,20.125673842829016,89.31243414358914,8.854126419717081,0.24218658733116374,19.21633367011265
16,False,False,rgb,25,25,92.0,91.90972222222223,94.65277777777779,92.57638888888889,89.13574318951983,24.69380564232571,89.1691819781999,31.220071412664993,0.2772840280819635,18.34168758594105
17,False,False,rgb,25,50,91.27777777777779,91.63194444444444,93.88888888888889,93.40972222222221,89.13574318951983,24.69380564232571,89.1691819781999,31.220071412664993,0.2772840280819635,18.34168758594105
18,False,False,rgb,25,75,90.48015873015873,89.79166666666666,94.65277777777779,92.51388888888889,89.10470516015285,25.499080937416423,89.14053107516418,31.220071412664993,0.2640895235640722,17.798462868437316
19,False,False,rgb,25,90,90.1448412698413,87.18055555555556,97.43055555555554,91.17361111111111,85.29498234826926,29.733994321564,89.14053107516418,36.965284787525626,17.79064150193487,18.74454938141971
20,False,False,rgb,50,25,90.80158730158732,90.69444444444444,93.95833333333333,93.09027777777777,89.13574318951983,24.69380564232571,89.1691819781999,31.220071412664993,0.2772840280819635,18.34168758594105
21,False,False,rgb,50,50,92.24404761904762,93.02083333333334,94.375,93.66666666666667,89.13574318951983,24.69380564232571,89.1691819781999,31.220071412664993,0.2772840280819635,18.34168758594105
22,False,False,rgb,50,75,90.96428571428571,91.28472222222223,94.09722222222221,92.4861111111111,89.13096807244627,28.29190294389251,89.14053107516418,35.89013077924592,0.27617143810273104,21.175855734712094
23,False,False,rgb,50,90,88.8015873015873,87.61805555555556,94.79166666666666,90.0625,88.80844684809743,30.422145422550177,89.14053107516418,35.89013077924592,0.8342542597348581,20.34274306789288
24,False,False,rgb,75,25,90.13690476190476,88.95833333333334,93.95833333333334,91.61111111111111,89.13574318951983,25.044484819290613,89.1691819781999,31.220071412664993,0.2772840280819635,18.0130141930616
25,False,False,rgb,75,50,89.50595238095238,88.38194444444444,95.20833333333331,91.66666666666667,89.13574318951983,24.713345557276796,89.1691819781999,31.220071412664993,0.2772840280819635,18.322836711140344
26,False,False,rgb,75,75,90.96825396825398,90.97222222222221,94.44444444444444,92.85416666666669,89.13335570739646,24.69380564232571,89.1691819781999,31.220071412664993,0.2754999772571981,18.34168758594105
27,False,False,rgb,75,90,87.8234126984127,87.38888888888889,93.95833333333334,88.86805555555556,84.02921341539911,32.06467691089812,89.14053107516418,38.21572820477475,18.067531034892188,21.199134586325762
28,False,False,rgb,90,25,80.6140873015873,75.13194444444444,95.55555555555554,81.84027777777779,88.04778598339958,38.844008395185476,89.14053107516418,43.281012002417114,4.558202793448085,21.98859668876994
29,False,False,rgb,90,50,89.23809523809524,87.06944444444444,95.69444444444444,89.62500000000001,88.80360691422679,32.7811935133131,89.14053107516418,41.687009993773444,0.9129594403899486,18.443660206635094
30,False,False,rgb,90,75,85.91964285714286,82.79166666666667,95.55555555555556,86.59722222222223,87.5433038880853,31.368245803291444,88.99727254781325,38.21572820477475,3.797204305017133,20.019014836816815
31,False,False,rgb,90,90,81.37996031746032,74.52083333333333,98.68055555555556,80.23611111111111,86.01584184728587,42.23653559224593,89.05457661792315,43.36445613605625,8.09630994108641,26.44368953511611
32,False,False,shape,25,25,68.54523809523809,81.29166666666667,64.16666666666666,78.55833333333334,89.24653791196906,31.366026352201505,89.19783288123561,33.48814550117153,0.08741873859833127,10.724652228484034
33,False,False,shape,25,50,70.36666666666667,80.75,66.0,80.58333333333334,89.24653791196906,31.366026352201505,89.19783288123561,33.48814550117153,0.08741873859833127,10.724652228484034
34,False,False,shape,25,75,67.41071428571428,75.13333333333333,64.66666666666666,78.45833333333334,89.24653791196906,31.366026352201505,89.19783288123561,33.48814550117153,0.08741873859833127,10.724652228484034
35,False,False,shape,25,90,66.03333333333333,76.41666666666667,62.0,81.1,89.24653791196906,31.366026352201505,89.19783288123561,33.48814550117153,0.08741873859833127,10.724652228484034
36,False,False,shape,50,25,67.81666666666666,80.08333333333333,63.0,80.85833333333333,89.24653791196906,31.366026352201505,89.19783288123561,33.48814550117153,0.08741873859833127,10.724652228484034
37,False,False,shape,50,50,71.10238095238095,80.25,68.75,81.74166666666667,89.24653791196906,31.366026352201505,89.19783288123561,33.48814550117153,0.08741873859833127,10.724652228484034
38,False,False,shape,50,75,66.56666666666666,76.33333333333333,63.416666666666664,77.11666666666667,89.24653791196906,31.366026352201505,89.19783288123561,33.48814550117153,0.08741873859833127,10.724652228484034
39,False,False,shape,50,90,65.95000000000002,77.75,61.0,78.56666666666666,89.24653791196906,31.366026352201505,89.19783288123561,33.48814550117153,0.08741873859833127,10.724652228484034
40,False,False,shape,75,25,71.71190476190476,81.45833333333333,67.58333333333334,82.99166666666667,89.24653791196906,31.366026352201505,89.19783288123561,33.48814550117153,0.08741873859833127,10.724652228484034
41,False,False,shape,75,50,72.08333333333334,83.75000000000001,67.75,79.14999999999999,89.24653791196906,31.366026352201505,89.19783288123561,33.48814550117153,0.08741873859833127,10.724652228484034
42,False,False,shape,75,75,68.91190476190476,78.95833333333333,65.5,79.69166666666666,89.24653791196906,31.366026352201505,89.19783288123561,33.48814550117153,0.08741873859833127,10.724652228484034
43,False,False,shape,75,90,69.86666666666667,79.83333333333333,66.08333333333333,79.70833333333334,89.24653791196906,31.366026352201505,89.19783288123561,33.48814550117153,0.08741873859833127,10.724652228484034
44,False,False,shape,90,25,71.08571428571427,79.875,67.75,82.475,89.24653791196906,31.366026352201505,89.19783288123561,33.48814550117153,0.08741873859833127,10.724652228484034
45,False,False,shape,90,50,67.91666666666666,79.16666666666667,63.83333333333333,80.3,89.24653791196906,31.366026352201505,89.19783288123561,33.48814550117153,0.08741873859833127,10.724652228484034
46,False,False,shape,90,75,71.9,83.25,67.33333333333333,82.16666666666666,89.24653791196906,31.366026352201505,89.19783288123561,33.48814550117153,0.08741873859833127,10.724652228484034
47,False,False,shape,90,90,69.60714285714286,80.58333333333333,65.33333333333333,80.25,89.24653791196906,31.366026352201505,89.19783288123561,33.48814550117153,0.08741873859833127,10.724652228484034
48,False,True,object,25,25,72.6733630952381,79.66666666666666,70.83333333333334,81.515625,89.22567927957724,20.125673842829016,89.31243414358914,8.854126419717081,0.24218658733116374,19.21633367011265
49,False,True,object,25,50,72.578125,79.67447916666666,70.59895833333333,81.6875,89.22567927957724,20.125673842829016,89.31243414358914,8.854126419717081,0.24218658733116374,19.21633367011265
50,False,True,object,25,75,73.46428571428572,80.91145833333333,71.30208333333333,82.578125,89.22567927957724,20.125673842829016,89.31243414358914,8.854126419717081,0.24218658733116374,19.21633367011265
51,False,True,object,25,90,71.14285714285714,77.95572916666667,69.97395833333333,80.1484375,89.22567927957724,20.125673842829016,89.31243414358914,8.854126419717081,0.24218658733116374,19.21633367011265
52,False,True,object,50,25,72.51636904761905,79.7265625,70.49479166666666,81.37760416666667,89.22567927957724,20.125673842829016,89.31243414358914,8.854126419717081,0.24218658733116374,19.21633367011265
53,False,True,object,50,50,72.125,77.98177083333334,71.04166666666667,82.3046875,89.22567927957724,20.125673842829016,89.31243414358914,8.854126419717081,0.24218658733116374,19.21633367011265
54,False,True,object,50,75,74.05580357142857,81.14583333333333,72.21354166666666,81.53125,89.22567927957724,20.125673842829016,89.31243414358914,8.854126419717081,0.24218658733116374,19.21633367011265
55,False,True,object,50,90,72.20833333333334,78.46354166666667,70.859375,81.6796875,89.22567927957724,20.125673842829016,89.31243414358914,8.854126419717081,0.24218658733116374,19.21633367011265
56,False,True,object,75,25,71.99851190476191,79.32291666666667,70.05208333333333,80.56510416666667,89.22567927957724,20.125673842829016,89.31243414358914,8.854126419717081,0.24218658733116374,19.21633367011265
57,False,True,object,75,50,71.75111607142857,79.4296875,69.97395833333333,80.24479166666667,89.22567927957724,20.125673842829016,89.31243414358914,8.854126419717081,0.24218658733116374,19.21633367011265
58,False,True,object,75,75,71.99032738095238,78.05989583333333,71.19791666666666,82.09114583333334,89.22567927957724,20.125673842829016,89.31243414358914,8.854126419717081,0.24218658733116374,19.21633367011265
59,False,True,object,75,90,72.83110119047619,79.75260416666666,71.22395833333333,82.44270833333334,89.22567927957724,20.125673842829016,89.31243414358914,8.854126419717081,0.24218658733116374,19.21633367011265
60,False,True,object,90,25,72.64955357142858,80.29947916666667,70.23437499999999,81.66666666666666,89.22567927957724,20.125673842829016,89.31243414358914,8.854126419717081,0.24218658733116374,19.21633367011265
61,False,True,object,90,50,72.06696428571429,80.49479166666667,69.01041666666666,82.0234375,89.22567927957724,20.125673842829016,89.31243414358914,8.854126419717081,0.24218658733116374,19.21633367011265
62,False,True,object,90,75,73.38020833333333,81.80989583333333,70.80729166666667,82.08333333333334,89.22567927957724,20.125673842829016,89.31243414358914,8.854126419717081,0.24218658733116374,19.21633367011265
63,False,True,object,90,90,71.59747023809524,79.83072916666667,68.90625,80.8359375,89.22567927957724,20.125673842829016,89.31243414358914,8.854126419717081,0.24218658733116374,19.21633367011265
64,False,True,rgb,25,25,92.42261904761907,93.36805555555557,94.09722222222223,93.75000000000001,89.13574318951983,24.69380564232571,89.1691819781999,31.220071412664993,0.2772840280819635,18.34168758594105
65,False,True,rgb,25,50,91.94246031746033,93.54166666666667,92.6388888888889,94.38888888888889,89.13574318951983,24.69380564232571,89.1691819781999,31.220071412664993,0.2772840280819635,18.34168758594105
66,False,True,rgb,25,75,88.6359126984127,87.17361111111111,93.95833333333333,89.98611111111111,86.81414971777413,33.010890199732124,89.14053107516418,38.21572820477475,8.395742658891754,20.26070512163082
67,False,True,rgb,25,90,87.10416666666666,83.60416666666666,97.63888888888889,86.22916666666667,86.98490185960715,39.285361081217054,89.11187974226472,43.281012002417114,7.208192672395993,22.30778893736823
68,False,True,rgb,50,25,92.68849206349205,92.8125,95.62499999999999,94.41666666666666,89.13574318951983,24.69380564232571,89.1691819781999,31.220071412664993,0.2772840280819635,18.34168758594105
69,False,True,rgb,50,50,91.09325396825398,91.38888888888889,94.02777777777777,92.85416666666666,89.13574318951983,24.69380564232571,89.1691819781999,31.220071412664993,0.2772840280819635,18.34168758594105
70,False,True,rgb,50,75,91.59126984126985,91.42361111111111,94.79166666666666,93.73611111111111,88.98042381702389,28.617510142305438,89.14053107516418,35.89013077924592,0.690575972251428,21.60780388944752
71,False,True,rgb,50,90,78.8888888888889,74.86111111111111,92.5,77.9375,80.143602354842,38.15759457626943,89.02592482648105,43.281012002417114,18.904384208022908,24.07847988611192
72,False,True,rgb,75,25,92.16071428571428,90.48611111111111,96.52777777777777,93.13888888888889,88.98997408221526,24.69380564232571,89.14053107516418,31.220071412664993,0.693313040630223,18.34168758594105
73,False,True,rgb,75,50,90.07539682539684,87.81249999999999,95.76388888888889,92.77083333333334,89.13574318951983,26.268436557946043,89.1691819781999,31.220071412664993,0.2772840280819635,19.002629692119267
74,False,True,rgb,75,75,89.74603174603175,89.05555555555556,93.88888888888889,91.54861111111111,88.84658035034757,29.488984688791344,89.14053107516418,36.965284787525626,0.9367811904593313,20.908566361155362
75,False,True,rgb,75,90,82.04761904761905,77.30555555555557,96.04166666666666,82.57638888888889,82.95834949480019,40.2468107052893,89.02592482648105,43.36445613605625,12.106562099577685,27.395711421000154
76,False,True,rgb,90,25,83.55654761904762,80.0625,96.18055555555556,82.39583333333333,87.2233977938961,39.58498069804023,89.02592482648105,44.02501279297093,4.924807113262951,22.089738761955108
77,False,True,rgb,90,50,82.40079365079366,77.03472222222221,97.5,81.64583333333333,88.77027412348711,38.075297891822736,89.02592482648105,43.36445613605625,0.7522383541228995,20.855695233861603
78,False,True,rgb,90,75,83.8561507936508,79.25,96.80555555555556,83.0625,87.03726513316435,39.6834341690255,89.14053107516418,42.98689794867746,8.531170864594424,25.4526194319922
79,False,True,rgb,90,90,83.8015873015873,81.09722222222223,92.56944444444444,83.22916666666667,86.20416219550401,40.28152318458299,89.14053107516418,43.281012002417114,8.61542305974611,21.206436450270388
80,False,True,shape,25,25,68.41904761904762,79.0,64.58333333333333,80.86666666666667,89.24653791196906,31.366026352201505,89.19783288123561,33.48814550117153,0.08741873859833127,10.724652228484034
81,False,True,shape,25,50,70.01190476190476,80.875,65.83333333333334,80.18333333333334,89.24653791196906,31.366026352201505,89.19783288123561,33.48814550117153,0.08741873859833127,10.724652228484034
82,False,True,shape,25,75,69.28333333333333,80.25,64.91666666666666,82.175,89.24653791196906,31.366026352201505,89.19783288123561,33.48814550117153,0.08741873859833127,10.724652228484034
83,False,True,shape,25,90,66.66904761904762,78.83333333333333,61.5,78.93333333333334,89.24653791196906,31.366026352201505,89.19783288123561,33.48814550117153,0.08741873859833127,10.724652228484034
84,False,True,shape,50,25,70.96190476190476,81.29166666666667,67.33333333333333,81.76666666666667,89.24653791196906,31.366026352201505,89.19783288123561,33.48814550117153,0.08741873859833127,10.724652228484034
85,False,True,shape,50,50,69.90238095238095,79.25,66.75,80.36666666666667,89.24653791196906,31.366026352201505,89.19783288123561,33.48814550117153,0.08741873859833127,10.724652228484034
86,False,True,shape,50,75,67.78928571428573,77.50833333333333,64.16666666666666,78.75833333333333,89.24653791196906,31.366026352201505,89.19783288123561,33.48814550117153,0.08741873859833127,10.724652228484034
87,False,True,shape,50,90,71.6,81.41666666666666,68.58333333333333,82.94166666666666,89.24653791196906,31.366026352201505,89.19783288123561,33.48814550117153,0.08741873859833127,10.724652228484034
88,False,True,shape,75,25,68.2404761904762,80.08333333333333,63.499999999999986,80.81666666666668,89.24653791196906,31.366026352201505,89.19783288123561,33.48814550117153,0.08741873859833127,10.724652228484034
89,False,True,shape,75,50,66.11428571428571,76.04166666666667,63.33333333333333,75.85,89.24653791196906,31.366026352201505,89.19783288123561,33.48814550117153,0.08741873859833127,10.724652228484034
90,False,True,shape,75,75,65.5142857142857,72.54166666666667,63.91666666666666,79.0,89.24653791196906,31.366026352201505,89.19783288123561,33.48814550117153,0.08741873859833127,10.724652228484034
91,False,True,shape,75,90,68.6,80.08333333333334,64.33333333333333,78.31666666666666,89.24653791196906,31.366026352201505,89.19783288123561,33.48814550117153,0.08741873859833127,10.724652228484034
92,False,True,shape,90,25,70.91190476190476,80.375,67.33333333333334,80.67500000000001,89.24653791196906,31.366026352201505,89.19783288123561,33.48814550117153,0.08741873859833127,10.724652228484034
93,False,True,shape,90,50,65.18333333333334,75.5,61.25,79.74166666666666,89.24653791196906,31.366026352201505,89.19783288123561,33.48814550117153,0.08741873859833127,10.724652228484034
94,False,True,shape,90,75,71.5952380952381,83.45833333333333,67.41666666666666,80.64166666666665,89.24653791196906,31.366026352201505,89.19783288123561,33.48814550117153,0.08741873859833127,10.724652228484034
95,False,True,shape,90,90,71.26666666666667,79.41666666666666,68.58333333333333,82.11666666666666,89.24653791196906,31.366026352201505,89.19783288123561,33.48814550117153,0.08741873859833127,10.724652228484034
96,True,False,object,25,25,72.10342261904762,79.81770833333333,69.89583333333333,81.52604166666666,89.22567927957724,20.125673842829016,89.31243414358914,8.854126419717081,0.24218658733116374,19.21633367011265
97,True,False,object,25,50,72.26116071428572,78.6328125,71.19791666666666,81.77864583333333,89.22567927957724,20.125673842829016,89.31243414358914,8.854126419717081,0.24218658733116374,19.21633367011265
98,True,False,object,25,75,71.77678571428572,77.44791666666667,71.328125,81.33333333333333,89.22567927957724,20.125673842829016,89.31243414358914,8.854126419717081,0.24218658733116374,19.21633367011265
99,True,False,object,25,90,71.31845238095238,78.38541666666667,69.89583333333333,80.3359375,89.22567927957724,20.125673842829016,89.31243414358914,8.854126419717081,0.24218658733116374,19.21633367011265
100,True,False,object,50,25,73.52827380952381,80.76822916666667,71.82291666666666,82.14583333333334,89.22567927957724,20.125673842829016,89.31243414358914,8.854126419717081,0.24218658733116374,19.21633367011265
101,True,False,object,50,50,74.49665178571428,80.69270833333334,73.17708333333334,81.78645833333333,89.22567927957724,20.125673842829016,89.31243414358914,8.854126419717081,0.24218658733116374,19.21633367011265
102,True,False,object,50,75,72.5282738095238,80.05208333333333,70.44270833333333,82.21354166666667,89.22567927957724,20.125673842829016,89.31243414358914,8.854126419717081,0.24218658733116374,19.21633367011265
103,True,False,object,50,90,72.31919642857142,80.05208333333333,69.89583333333333,81.890625,89.22567927957724,20.125673842829016,89.31243414358914,8.854126419717081,0.24218658733116374,19.21633367011265
104,True,False,object,75,25,73.16294642857142,80.15624999999999,71.53645833333331,81.92708333333333,89.22567927957724,20.125673842829016,89.31243414358914,8.854126419717081,0.24218658733116374,19.21633367011265
105,True,False,object,75,50,73.63020833333333,82.3828125,70.75520833333334,82.27604166666666,89.22567927957724,20.125673842829016,89.31243414358914,8.854126419717081,0.24218658733116374,19.21633367011265
106,True,False,object,75,75,72.99851190476191,79.40104166666666,71.04166666666667,83.609375,89.22567927957724,20.125673842829016,89.31243414358914,8.854126419717081,0.24218658733116374,19.21633367011265
107,True,False,object,75,90,70.73288690476191,78.07291666666667,69.16666666666667,80.0234375,89.22567927957724,20.125673842829016,89.31243414358914,8.854126419717081,0.24218658733116374,19.21633367011265
108,True,False,object,90,25,71.00372023809524,78.64583333333333,68.85416666666667,80.28125,89.22567927957724,20.125673842829016,89.31243414358914,8.854126419717081,0.24218658733116374,19.21633367011265
109,True,False,object,90,50,72.1328125,78.55729166666666,70.65104166666667,82.06510416666666,89.22567927957724,20.125673842829016,89.31243414358914,8.854126419717081,0.24218658733116374,19.21633367011265
110,True,False,object,90,75,71.82291666666666,79.04947916666667,69.99999999999999,81.57552083333334,89.22567927957724,20.125673842829016,89.31243414358914,8.854126419717081,0.24218658733116374,19.21633367011265
111,True,False,object,90,90,72.88244047619048,80.1953125,70.83333333333333,81.44791666666667,89.22567927957724,20.125673842829016,89.31243414358914,8.854126419717081,0.24218658733116374,19.21633367011265
112,True,False,rgb,25,25,89.83035714285714,89.76388888888889,92.91666666666666,93.06944444444444,89.13574318951983,24.69380564232571,89.1691819781999,31.220071412664993,0.2772840280819635,18.34168758594105
113,True,False,rgb,25,50,89.23412698412697,88.88888888888889,92.63888888888887,91.9375,89.13574318951983,24.69380564232571,89.1691819781999,31.220071412664993,0.2772840280819635,18.34168758594105
114,True,False,rgb,25,75,92.19841269841268,92.63888888888889,94.09722222222223,94.51388888888889,89.13574318951983,27.878806483142824,89.1691819781999,35.89013077924592,0.2772840280819635,21.345837532421854
115,True,False,rgb,25,90,87.57936507936509,85.03472222222223,93.05555555555556,89.02083333333333,89.12556968843157,35.77703568560798,89.14053107516418,36.965284787525626,0.278828473441507,24.994876084716616
